datetime,Program Trading Buy,Program Trading Sell,Program Trading Net,Non Program Trading Buy,Non Program Trading Sell,Non Program Trading Net,Total Buy,Total Sell
"Sunday, March 17, 2024",,,,,,,,
"Saturday, March 16, 2024",,,,,,,,
"Friday, March 15, 2024",23899.41,27153.64,-3254.23,27427.75,24173.52,3254.23,51327.16,51327.16
"Thursday, March 14, 2024",,,,,,,,
"Wednesday, March 13, 2024",,,,,,,,
"Tuesday, March 12, 2024",19310.14,18020.36,1289.78,22682.38,23972.16,-1289.78,41992.52,41992.52
"Monday, March 11, 2024",14599.36,15317.95,-718.59,20307.9,19589.3,718.59,34907.26,34907.26
"Sunday, March 10, 2024",,,,,,,,
"Saturday, March 9, 2024",,,,,,,,
"Friday, March 8, 2024",17690.18,16746.72,943.46,24062.86,25006.31,-943.46,41753.03,41753.03
"Thursday, March 7, 2024",17305.85,19252.88,-1947.04,23577.72,21630.69,1947.04,40883.57,40883.57
"Wednesday, March 6, 2024",18420.32,18101.94,318.37,24128.25,24446.63,-318.37,42548.57,42548.57
"Tuesday, March 5, 2024",18005.36,19899.67,-1894.31,23580.46,21686.15,1894.31,41585.82,41585.82
"Monday, March 4, 2024",18801.78,19297.62,-495.84,23540.58,23044.74,495.84,42342.36,42342.36
"Sunday, March 3, 2024",,,,,,,,
"Saturday, March 2, 2024",,,,,,,,
"Friday, March 1, 2024",21325.1,23448.84,-2123.75,30387.55,28263.8,2123.75,51712.65,51712.65
"Thursday, February 29, 2024",36053.82,41805.79,-5751.98,39729.82,33977.84,5751.98,75783.63,75783.63
"Wednesday, February 28, 2024",22605.78,23328.78,-723.0,34894.7,34171.7,723.0,57500.49,57500.49
"Tuesday, February 27, 2024",23886.5,25514.9,-1628.4,34291.2,32662.8,1628.4,58177.7,58177.7
"Monday, February 26, 2024",,,,,,,,
"Sunday, February 25, 2024",,,,,,,,
"Saturday, February 24, 2024",,,,,,,,
"Friday, February 23, 2024",18575.97,19747.05,-1171.08,32495.47,31324.39,1171.08,51071.45,51071.45
"Thursday, February 22, 2024",23540.66,21414.55,2126.11,31157.05,33283.16,-2126.11,54697.71,54697.71
"Wednesday, February 21, 2024",31167.57,27417.35,3750.22,36031.05,39781.27,-3750.22,67198.62,67198.62
"Tuesday, February 20, 2024",17384.11,17171.21,212.91,27089.46,27302.36,-212.91,44473.57,44473.57
"Monday, February 19, 2024",12894.81,12818.93,75.89,21153.77,21229.65,-75.89,34048.58,34048.58
"Sunday, February 18, 2024",,,,,,,,
"Saturday, February 17, 2024",,,,,,,,
"Friday, February 16, 2024",19803.33,18926.47,876.85,27961.89,28838.75,-876.85,47765.22,47765.22
"Thursday, February 15, 2024",17873.19,17817.9,55.29,27553.06,27608.34,-55.29,45426.24,45426.24
"Wednesday, February 14, 2024",15745.6,17666.39,-1920.79,23542.47,21621.68,1920.79,39288.07,39288.07
"Tuesday, February 13, 2024",12727.34,12895.35,-168.01,21971.65,21803.64,168.01,34698.99,34698.99
"Monday, February 12, 2024",9377.82,9452.82,-75.0,17421.2,17346.2,75.0,26799.02,26799.02
"Sunday, February 11, 2024",,,,,,,,
"Saturday, February 10, 2024",,,,,,,,
"Friday, February 9, 2024",11580.81,12710.4,-1129.58,19271.54,18141.95,1129.58,30852.35,30852.35
"Thursday, February 8, 2024",18956.84,21661.44,-2704.6,25642.25,22937.65,2704.6,44599.09,44599.09
"Wednesday, February 7, 2024",18288.18,19732.09,-1443.91,29041.84,27597.93,1443.91,47330.02,47330.02
"Tuesday, February 6, 2024",25309.6,23749.75,1559.85,27874.45,29434.3,-1559.85,53184.05,53184.05
"Monday, February 5, 2024",20550.61,20544.36,6.25,21924.23,21930.48,-6.25,42474.85,42474.85
"Sunday, February 4, 2024",,,,,,,,
"Saturday, February 3, 2024",,,,,,,,
"Friday, February 2, 2024",21841.85,21404.16,437.7,24404.23,24841.93,-437.7,46246.08,46246.08
